priority,details,status,deadline,completed,Project
5,Cranberry,In Progress,2010-07-15,2010-07-10,Citigroup
4,Cocky apple,Canceled,2003-04-05,2003-04-02,America Online
5,Lowbush cranberry,Canceled,2000-03-26,2000-03-25,Interstate Batteries
5,Marionberry,Blocked,2000-02-02,2000-01-27,CKE Restaurants
4,Louvi,Accepted,2006-05-06,2006-05-04,"PalmOne, Inc."
3,Date plum,Completed,2003-07-19,2003-07-12,Northern Star
2,Banana,Blocked,2004-01-30,2004-01-25,Martin Marietta Materials
5,Hackberry,In Verification,2008-09-13,2008-09-11,Happy Family
1,Olallieberry,In Progress,2007-12-14,2007-12-09,Yahoo!
1,Limequat,In Evaluation,2008-02-08,2008-02-06,Comodo
2,Photinia,Blocked,2002-11-25,2002-11-21,Lowe's
4,Loquat,New,2017-07-05,2017-07-03,Northern Star
2,Coffee,In Progress,2008-03-07,2008-03-06,Complete Tech
3,European blueberry,In Progress,2009-02-05,2009-02-03,National Railway Equipment Company
3,Giant granadilla,New,2002-10-04,2002-09-27,Payless ShoeSource
0,Date plum,In Evaluation,2010-04-16,2010-04-13,Global Insight
4,Kiwifruit,In Progress,2018-02-28,2018-02-27,Simply Appraisals
0,Pentadiplandra,In Progress,2017-04-29,2017-04-22,Spectrum Brands
4,Amelanchier,New,2001-10-23,2001-10-18,Interstate Batteries
2,Cluster fig,In Progress,2010-12-05,2010-12-01,Soyo Group
5,Desert fig,Completed,2010-09-01,2010-08-25,Venus Swimwear
5,Calamondin,In Progress,2015-10-17,2015-10-14,Apple Inc.
4,Loganberry,In Verification,2003-06-05,2003-05-30,Signa Air
2,Canary melon,Pending,2006-10-20,2006-10-16,Simply Appraisals
3,Lingonberry,In Progress,2003-05-04,2003-04-29,Carnival Cruise Lines
1,Tayberry,Accepted,2017-03-19,2017-03-14,The White Swan
0,Canistel,Blocked,2009-06-08,2009-06-03,Texas Instruments
1,Canistel,Pending,2013-12-13,2013-12-11,Signa Air
2,Black sapote,Canceled,2010-02-22,2010-02-19,Magna Architectural Design
4,Bacuri,Accepted,2000-11-24,2000-11-20,Amerigroup
0,Huito,Accepted,2020-03-05,2020-02-27,Elizabeth Arden
3,Bacuri,Canceled,2008-02-18,2008-02-14,Baker Hughes
3,Sambucus,In Verification,2006-04-11,2006-04-04,News Corporation
0,Gac,In Verification,2005-01-14,2005-01-07,Snap-on Tools
2,Empetrum,Completed,2013-11-23,2013-11-22,Wealth Zone Group
4,Youngberry,Pending,2005-11-19,2005-11-15,Amerigroup
2,Huito,Blocked,2014-03-05,2014-03-03,Miro Technologies
1,Melon pear,Pending,2001-02-19,2001-02-12,Spectrum Brands
0,Louvi,Canceled,2005-11-02,2005-10-30,America Online
4,Empetrum,In Evaluation,2009-04-14,2009-04-11,Wealth Zone Group
5,Barbadine,In Progress,2006-01-29,2006-01-23,Human Kinetics
5,Highbush cranberry,Accepted,2018-08-16,2018-08-15,Altec Lansing
1,Karkalla,In Evaluation,2007-05-01,2007-04-27,Soyo Group
2,Empetrum,In Verification,2011-02-03,2011-01-29,Intel
0,Eugenia uniflora,New,2002-07-18,2002-07-13,U.S. Robotics
1,Genip,Accepted,2007-12-31,2007-12-29,Coventry Health Care
2,Loquat,Blocked,2015-09-21,2015-09-17,News Corporation
3,Kabosu,Canceled,2018-09-21,2018-09-18,Warner Bros. Entertainment
2,Coconut,Completed,2003-03-05,2003-03-02,Human Kinetics
0,Louvi,Blocked,2020-01-26,2020-01-21,"PalmSource, Inc."
2,Boysenberry,In Progress,2008-07-25,2008-07-21,Colt's Manufacturing Company
3,Highbush cranberry,Accepted,2003-06-12,2003-06-06,Elizabeth Arden
0,Longan,New,2010-12-11,2010-12-06,General Dynamics
0,Cantaloupe,Accepted,2016-10-10,2016-10-06,News Corporation
1,Genip,Canceled,2001-03-03,2001-02-27,Antec
2,Date plum,Pending,2006-11-18,2006-11-15,Sexsi Senorita
0,Dewberry,Blocked,2019-05-22,2019-05-21,Baker Hughes
5,Duku,Blocked,2017-03-17,2017-03-11,CKE Restaurants
3,Dodder laurel,New,2009-06-12,2009-06-10,Sky High Financial Advice
2,Bitter melon,Accepted,2007-06-25,2007-06-23,Elizabeth Arden
1,Chokeberry,In Evaluation,2009-10-19,2009-10-13,Gamma Grays
5,Biriba,In Evaluation,2020-03-26,2020-03-19,Antec
4,Olallieberry,In Progress,2012-11-01,2012-10-30,Boeing
2,Elderberry,In Evaluation,2006-11-27,2006-11-21,C.H. Robinson Worldwide
2,Partridgeberry,In Progress,2019-09-21,2019-09-16,Polaris Industries
2,Longan,New,2006-10-21,2006-10-14,Marantz
2,Myrciaria floribunda,In Verification,2001-03-01,2001-02-27,Martin Marietta Materials
2,Myrciaria floribunda,Blocked,2019-03-20,2019-03-16,Hasbro
5,Cluster fig,New,2011-02-18,2011-02-17,America Online
5,Tayberry,New,2014-02-07,2014-02-01,General Dynamics
